WORD,MEANING
a blind alley,A direction that leads nowhere
a bolt from the blue,A great surprise
a cat's paw,A person used as a tool or dupe
a feather in one's cap,Something to be proud of
a flash in the pan,Promising at the start but then disappointing
a fly in the ointment,Something that spoils the enjoyment
a lick and a promise,To do something in a hasty manner
a pig in a poke,A disappointment
a pretty kettle of fish,A messy situation
a red herring,Something that diverts attention
a sacred cow,A person who cannot be criticized
a square peg in a round hole,An able man in the wrong job
a wet blanket,One who spoils the fun
a white elephant,A costly and useless possession
abhor,To utterly hate
abjure,Renounce
abortive,Fruitless
abound,To exist in great numbers
abrogate,Repeal by law
abstemious,Moderate in eating
absurd,Ridiculous
access,Admittance
accommodate,To adjust
accomplice,An associate in crime
accost,To approach and speak to
Achilles heel,Weak spot
acknowledge,Admit
acme,Peak
acrimonious,Bitter
acute,Severe
adamant,Inflexible
adherent,Supporter
admonish,To warn
adroit,Skillful
advent,Coming of an important event
adversary,Enemy
adverse,Unfavorable
advocate,To support
aegis,Protection
afflict,To trouble greatly
affluent,Wealthy
alacrity,Quick willingness
allay,Soothe
alleged,Supposed
alleviate,Make easier
allude,Hint
aloof,Distant
altruistic,Unselfish
ambiguous,Vague
ameliorate,Improve
amicable,Friendly
amnesty,A general pardon
amorous,Full of love
an ax to grind,Having a selfish motive
analogous,Comparable
anathema,A curse
annals,Historical records
anomaly,Abnormality
anthropologist,Studies mankind's customs
antipathy,Dislike
antiquated,Out-of-date
antithesis,Exact opposite
apathy,Lack of interest
appalled,Shocked
appellation,A name
apple polishing,Trying to gain favor
arbiter,Judge
arbitrary,Based on whim
archaic,Out of date
ardent,Eager
array,Arrangement
artifact,A hand-made object
artifice,Trickery
artless,Innocent
as broad as it is long,Makes little difference
ascend,To rise
ascertain,Discover
ascetic,One who practices self-denial
asinine,Stupid
asperity,Bitterness of temper
aspirant,Candidate for a better job
aspire,To strive for
asset,Something of value
assiduous,Busy
astute,Keen
atrophy,Waste away
attenuated,Weakened
attest,Confirm as accurate
atypical,Nonconforming
au courant,Up-to-date
audacity,Boldness
augment,Increase
austere,Simple
automaton,A robot
avarice,Greed
aversion,Strong dislike
avid,Enthusiastic
awesome,Inspiring terror
badger,To pester
bagatelle,A trifle
balk,To refuse to move
banal,Trivial
barometer,Instrument for measuring change
bedlam,Uproar
begrudge,To be resentful
behind the eight ball,In trouble
belated,Delayed
belittle,Speak of as unimportant
belligerent,Hostile
benevolent,Kindly
bereft,Deprived of
besiege,To surround
besmirch,Stain
bias,Prejudice
bigot,Prejudiced person
bitter pill to swallow,A humiliating defeat
bizarre,Fantastic
blase,Indifferent
blatant,Disagreeably loud
bliss,Happiness
blow hot and cold,Swing for and against something
blue chip,A highly valuable asset
blunt,Plain spoken
bogus,Fake
bona fide,Genuine
brash,Insolent
brass tacks,The real problem
break the ice,To make a start
brigand,Bandit
bring home the bacon,To succeed
bristle,To have one's hair stand up
buff,A fan
bulwark,Protection
burgeoned,Grew
burn the midnight oil,Work late into the night
bury the hatchet,To make peace
by hook or by crook,At any cost
cache,Secret hiding place
cacophony,Harsh sound
cajole,Coax
callous,Unfeeling
callow,Inexperienced
calumny,Slander
canard,A made-up story
candid,Honest
candor,Frankness
cant,Insincere talk
capitulate,Surrender
capricious,Whimsical
carnage,Slaughter
castigate,Punish
castles in the air,To dream about a wonderful future
catastrophic,Disastrous
cause celebre,A famous law case
caustic,Stinging
celerity,Speed
cessation,A pause
chagrin,Disappointment
charisma,Inspiring leadership quality
charlatan,Fraud
chicanery,Trickery
chimerical,Imaginary
chip off the old block,A son who is like his father
clandestine,Secret
cliche,A commonplace phrase
clique,A small exclusive group
coerce,To force
cogent,Convincing
cognizant,Aware
cold feet,To hesitate because of fear
cold shoulder,To ignore
comely,Handsome
commodious,Spacious
compassion,Kindness
compatible,Harmonious
compensatory,Serving to pay back
complacent,Self-satisfied
complicity,Partnership in wrongdoing
component,Part
compound,To add to
comprehensive,Thorough
concoct,Devise
concomitant,Accompanying
concur,Agree
condescend,Stoop
condolence,Expression of sympathy
condone,Excuse
conductive,Helpful
confidant,Person you tell secrets to
conflagration,Great fire
confront,Come face to face with
congenial,Agreeable
conjecture,Guess
conjugal,Relating to marriage
connoisseur,Expert
connubial,Related to marriage
consternation,Dismay
constrict,Limit
construe,Interpret
consummate,Complete
contemptuous,Looking down on someone
contort,Twist violently
controversial,Debatable
cope,To manage
copious,Plentiful
corpulent,Obese
corroborate,Confirm
coterie,Exclusive group
countenance,Approve
coup,Overthrow
coup de grace,The finishing stroke
covert,Secret
covet,Wish
crave,To desire
criterion,Standard
crocodile tears,Insincere tears
cryptic,Puzzling
culminate,Reach the highest point
culpable,Deserving blame
culprit,One who commits a crime
cumbersome,Burdensome
cumulative,Accumulated
cupidity,Greed
curry,To seek favor by flattery
cursory,Hasty
curtail,Cut short
cynic,Skeptic
dearth,Lack
debacle,Collapse
debilitate,Weaken
debris,Ruins
decade,Ten years
decadence,Decay
decapitate,Behead
declaim,Speak loudly
decorum,Politeness
decrepit,Worn out
deem,To judge
defamatory,Damaging character
degrade,Lower
deleterious,Harmful
delineation,Description
delude,To fool
deluge,Flood
delve,To dig
demeanor,Conduct
demur,To object
denote,Indicate
depict,Portray
deplorable,Pitiable
deploy,Spread out
deprecate,Express disapproval
deride,To make fun of
derived,Received from a source
derogatory,Expressing a low opinion
desist,Cease
destitution,Extreme poverty
desultory,Random
deter,Discourage
detriment,Damage
devout,Sincere
dexterity,Skill
diatribe,Bitter criticism
dilettante,One with little knowledge
diminutive,Small
discern,Recognize
disciple,Follower
discreet,Cautious
disdain,Scorn
disgruntled,Unhappy
disheveled,Disorderly
dismantle,Take apart
disparage,Discredit
disparate,Different
dispersed,Scattered
disseminate,Spread
dissent,Disagree
distraught,Harassed
diversity,Variety
divulge,Reveal
docile,Easy to manage
doddering,Trembling
doleful,Sad
domicile,Home
dormant,Resting
Draconian Code,Severe rules
draw in one's horns,To restrain oneself
dregs,Most worthless part
drudgery,Hard work
dubious,Uncertain
dulcet,Melodious
dupe,Easily fooled person
